width,height,max_food_per_100_cells,max_food,base_food_spawn_per_tick,food_spawn_multiplier,bootstrap_food_spawn_ticks,wild_food_spawn_after_bootstrap_multiplier,natural_seed_rain_per_tick,max_plant_seeds,plant_seed_max_age_multiplier,plant_growth_rate_multiplier,sprout_biomass_loss_multiplier,germination_good_ticks_multiplier,plant_fruiting_interval_multiplier,natural_seed_drop_chance_multiplier,plant_food_decay_chance,runs,germinated_runs,matured_runs,fruited_runs,plant_food_consumed_runs,mean_ignition_score,mean_seed_germinated,mean_plant_matured,mean_plant_fruited,mean_plant_food_consumed,mean_plant_died_no_biomass,mean_plant_died_max_age,mean_plant_died_low_viability,mean_plant_died_mean_growth,mean_plant_died_mean_light,mean_plant_died_mean_nutrients,mean_hunger_level,mean_ticks_per_second,mean_seed_to_germinated_rate,mean_germinated_to_matured_rate,mean_matured_to_fruited_rate,best_status
100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.5,2.0,0.0015,1,1,1,1,1,822.0,132.0,39.0,1.0,1.0,0.0,0.0,89.0,0.0,0.2324,0.7729,0.983,44.77,0.6256,0.2955,0.0256,agent_consumed_plant_food
100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,4.0,0.25,0.5,0.5,2.0,0.0015,1,1,1,0,0,790.0,200.0,88.0,0.0,0.0,28.0,0.0,90.0,0.0,0.2145,0.7704,0.983,44.79,0.6309,0.44,0.0,plant_matured
100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,4.0,0.1,0.5,0.5,2.0,0.0015,1,1,1,0,0,790.0,109.0,68.0,0.0,0.0,0.0,0.0,94.0,0.0,0.2056,0.7737,0.983,44.39,0.507,0.6239,0.0,plant_matured
100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.25,0.5,0.5,2.0,0.0015,1,1,1,0,0,482.0,40.0,10.0,0.0,0.0,14.0,0.0,68.0,0.0,0.2862,0.7734,0.983,46.12,0.3883,0.25,0.0,plant_matured
