run_id,seed,width,height,max_food_per_100_cells,max_food,base_food_spawn_per_tick,food_spawn_multiplier,bootstrap_food_spawn_ticks,wild_food_spawn_after_bootstrap_multiplier,natural_seed_rain_per_tick,max_plant_seeds,plant_seed_max_age_multiplier,plant_growth_rate_multiplier,sprout_biomass_loss_multiplier,germination_good_ticks_multiplier,plant_fruiting_interval_multiplier,natural_seed_drop_chance_multiplier,plant_food_decay_chance,stop_reason,elapsed_seconds,tick,ticks_per_second,day,population,births,nests,status,ignition_score,plant_food_remaining,plant_food_consumed,plant_food_decayed,plant_food_fruited,seed_to_germinated_rate,germinated_to_matured_rate,matured_to_fruited_rate,fruit_to_consumed_rate,plant_died_no_biomass,plant_died_max_age,plant_died_low_viability,plant_died_mean_age_ticks,plant_died_mean_biomass,plant_died_mean_water,plant_died_mean_temp_k,plant_died_mean_light,plant_died_mean_nutrients,plant_died_mean_growth,mean_safety_feeling,mean_comfort_level,mean_fear_level,mean_hunger_level,mean_pair_bond_ticks,first_seed_germinated_tick,first_plant_matured_tick,first_plant_fruited_tick,first_plant_food_consumed_tick,first_natural_seed_dropped_tick,plant_origins,harvest_seed_dropped,seed_buried_by_disturbance,seed_germinated,plant_matured,natural_seed_dropped,plant_fruited,plant_lifecycle_food_consumed,plant_lifecycle_food_decayed,plant_died,seed_picked,seed_dropped,build_nest,technology_emerged
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p25_gt0p5_fruit0p5_ns2p0_pfd0p0015_s20260610,20260610,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.25,0.5,0.5,2.0,0.0015,time_limit_reached,45.014,2076,46.119,103,50,0,0,plant_matured,482,0,0,0,0,0.3883,0.25,0.0,0.0,14,0,68,1194.5854,0.2145,0.7596,287.4134,0.2862,0.7734,0.0,0.007,0.0,0.398,0.983,0.0,121,776,,,776,"{""natural_drop"": 21, ""natural_drop_seed"": 14, ""natural_drop_sprout"": 7}",71,24,40,10,32,0,0,0,82,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p5_ns2p0_pfd0p0015_s20260610,20260610,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.5,2.0,0.0015,time_limit_reached,45.008,2015,44.7698,100,50,0,0,agent_consumed_plant_food,822,0,1,0,1,0.6256,0.2955,0.0256,1.0,0,0,89,1290.2022,0.4527,0.7474,289.0966,0.2324,0.7729,0.0,0.018,0.0,0.307,0.983,0.0,121,736,760,822,760,"{""harvest_drop"": 1, ""harvest_drop_seed"": 1, ""natural_drop"": 121, ""natural_drop_mature"": 14, ""natural_drop_seed"": 26, ""natural_drop_sprout"": 81}",74,31,132,39,137,1,1,0,89,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow4p0_loss0p25_gt0p5_fruit0p5_ns2p0_pfd0p0015_s20260610,20260610,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,4.0,0.25,0.5,0.5,2.0,0.0015,time_limit_reached,45.01,2016,44.79,100,50,0,0,plant_matured,790,0,0,0,0,0.6309,0.44,0.0,0.0,28,0,90,1048.7034,0.4467,0.7675,286.6288,0.2145,0.7704,0.0,0.016,0.0,0.307,0.983,0.0,121,213,,,440,"{""natural_drop"": 199, ""natural_drop_mature"": 58, ""natural_drop_seed"": 68, ""natural_drop_sprout"": 73}",72,49,200,88,245,0,0,0,118,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow4p0_loss0p1_gt0p5_fruit0p5_ns2p0_pfd0p0015_s20260610,20260610,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,4.0,0.1,0.5,0.5,2.0,0.0015,time_limit_reached,45.01,1998,44.3901,99,50,0,0,plant_matured,790,0,0,0,0,0.507,0.6239,0.0,0.0,0,0,94,1302.2766,0.6342,0.7512,288.334,0.2056,0.7737,0.0,0.003,0.0,0.393,0.983,0.0,121,178,,,441,"{""natural_drop"": 121, ""natural_drop_mature"": 31, ""natural_drop_seed"": 52, ""natural_drop_sprout"": 38}",74,30,109,68,141,0,0,0,94,0,0,0,0
