seed,phase2_pass,elapsed_seconds,tick,population,plant_matured,plant_fruited,plant_food_consumed,plant_food_decayed,parsed_reward_events,rewarded_agents,owner_revisited_reward_events,owner_revisited_reward_fraction,owner_revisit_agents,owner_revisit_tick_hits,owner_revisit_opportunities,random_expected_owner_hits,owner_revisit_lift,first_owner_revisit_tick,owner_left_reward_events,owner_returned_reward_events,owner_returned_reward_fraction,owner_return_agents,owner_return_tick_hits,owner_return_opportunities,random_expected_owner_return_hits,owner_return_lift,first_owner_return_tick
20260610,True,60.02,2240,50,63,134,105,25,105,33,96,0.91429,32,16156,55180,226.238,71.412,790,97,82,0.78095,31,10568,48896,200.474,52.715,806
20260611,True,60.006,2227,50,66,135,84,43,84,28,80,0.95238,28,11476,53689,219.169,52.361,479,79,65,0.77381,24,7823,49511,202.177,38.694,485
20260612,True,60.024,2279,50,97,188,131,54,131,44,119,0.9084,42,18795,88485,361.938,51.929,749,128,93,0.70992,37,10986,79717,326.002,33.699,754
