width,height,max_food_per_100_cells,max_food,base_food_spawn_per_tick,food_spawn_multiplier,bootstrap_food_spawn_ticks,wild_food_spawn_after_bootstrap_multiplier,natural_seed_rain_per_tick,max_plant_seeds,runs,germinated_runs,matured_runs,fruited_runs,plant_food_consumed_runs,mean_ignition_score,mean_seed_germinated,mean_plant_matured,mean_plant_fruited,mean_plant_food_consumed,mean_plant_died_no_biomass,mean_plant_died_max_age,mean_plant_died_low_viability,mean_hunger_level,mean_ticks_per_second,mean_seed_to_germinated_rate,mean_germinated_to_matured_rate,mean_matured_to_fruited_rate,best_status
40,40,20.0,320,4,0.7,300,0.1,0,1216,1,1,1,1,0,532.0,58.0,3.0,7.0,0.0,43.0,70.0,0.0,0.983,143.56,0.4427,0.0517,2.3333,plant_food_fate_without_consumption
100,100,20.0,2000,4,0.7,300,0.1,0,7600,1,1,0,0,0,52.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.983,41.62,0.1094,0.0,0.0,seed_germinated
