run_id,seed,width,height,max_food_per_100_cells,max_food,base_food_spawn_per_tick,food_spawn_multiplier,bootstrap_food_spawn_ticks,wild_food_spawn_after_bootstrap_multiplier,natural_seed_rain_per_tick,max_plant_seeds,stop_reason,elapsed_seconds,tick,ticks_per_second,day,population,births,nests,status,ignition_score,plant_food_remaining,plant_food_consumed,plant_food_decayed,plant_food_fruited,seed_to_germinated_rate,germinated_to_matured_rate,matured_to_fruited_rate,fruit_to_consumed_rate,plant_died_no_biomass,plant_died_max_age,plant_died_low_viability,mean_safety_feeling,mean_comfort_level,mean_fear_level,mean_hunger_level,mean_pair_bond_ticks,first_seed_germinated_tick,first_plant_matured_tick,first_plant_fruited_tick,first_plant_food_consumed_tick,first_natural_seed_dropped_tick,plant_origins,harvest_seed_dropped,seed_buried_by_disturbance,seed_germinated,plant_matured,natural_seed_dropped,plant_fruited,plant_lifecycle_food_consumed,plant_lifecycle_food_decayed,plant_died,seed_picked,seed_dropped,build_nest,technology_emerged
w40_d20p0_b4_fsm0p7_boot300_post0p1_rain0_s20260610,20260610,40,40,20.0,320,4,0.7,300,0.1,0,1216,time_limit_reached,12.002,1723,143.5594,86,50,0,0,plant_food_fate_without_consumption,532,1,0,6,7,0.4427,0.0517,2.3333,0.0,43,70,0,0.091,0.0,0.248,0.983,0.0,40,811,813,,811,"{""natural_drop"": 18, ""natural_drop_seed"": 6, ""natural_drop_sprout"": 12}",110,44,58,3,21,7,0,6,113,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_s20260610,20260610,100,100,20.0,2000,4,0.7,300,0.1,0,7600,time_limit_reached,12.012,500,41.625,25,50,0,0,seed_germinated,52,0,0,0,0,0.1094,0.0,0.0,0.0,5,0,0,0.013,0.0,0.393,0.983,0.0,135,,,,,"{""harvest_drop"": 59, ""harvest_drop_seed"": 57, ""harvest_drop_sprout"": 2}",64,7,7,0,0,0,0,0,5,0,0,0,0
