seed,phase3_pass,elapsed_seconds,tick,population,seed_picked,seed_dropped,plant_food_consumed,agent_moved_seed_count,agent_moved_seed_agents,agent_moved_seed_germinated,agent_moved_seed_matured,agent_moved_seed_fruited,agent_moved_seed_completed_chains,agent_moved_seed_food_events,agent_moved_seed_chain_agents,same_agent_seed_food_chains,control_seed_count,control_seed_completed_chains,agent_moved_completed_chain_rate,control_completed_chain_rate,agent_moved_vs_control_completed_lift
20260610,True,120.031,4369,50,213,213,723,172,46,132,19,16,14,40,12,2,4598,303,0.0814,0.0659,1.235
20260611,True,120.027,4202,50,165,165,536,137,42,106,23,18,17,39,12,6,2837,220,0.12409,0.07755,1.6
20260612,True,120.032,3979,50,212,210,660,178,48,129,27,24,18,43,14,4,3663,273,0.10112,0.07453,1.357
