run_id,seed,width,height,max_food_per_100_cells,max_food,base_food_spawn_per_tick,food_spawn_multiplier,bootstrap_food_spawn_ticks,wild_food_spawn_after_bootstrap_multiplier,natural_seed_rain_per_tick,max_plant_seeds,plant_seed_max_age_multiplier,plant_growth_rate_multiplier,sprout_biomass_loss_multiplier,germination_good_ticks_multiplier,plant_fruiting_interval_multiplier,natural_seed_drop_chance_multiplier,plant_food_decay_chance,stop_reason,elapsed_seconds,tick,ticks_per_second,day,population,births,nests,status,ignition_score,plant_food_remaining,plant_food_consumed,plant_food_decayed,plant_food_fruited,seed_to_germinated_rate,germinated_to_matured_rate,matured_to_fruited_rate,fruit_to_consumed_rate,plant_died_no_biomass,plant_died_max_age,plant_died_low_viability,plant_died_mean_age_ticks,plant_died_mean_biomass,plant_died_mean_water,plant_died_mean_temp_k,plant_died_mean_light,plant_died_mean_nutrients,plant_died_mean_growth,mean_safety_feeling,mean_comfort_level,mean_fear_level,mean_hunger_level,mean_pair_bond_ticks,first_seed_germinated_tick,first_plant_matured_tick,first_plant_fruited_tick,first_plant_food_consumed_tick,first_natural_seed_dropped_tick,plant_origins,harvest_seed_dropped,seed_buried_by_disturbance,seed_germinated,plant_matured,natural_seed_dropped,plant_fruited,plant_lifecycle_food_consumed,plant_lifecycle_food_decayed,plant_died,seed_picked,seed_dropped,build_nest,technology_emerged
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p5_ns2p0_pfd0p0015_s20260610,20260610,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.5,2.0,0.0015,time_limit_reached,45.007,2109,46.8594,105,50,0,0,agent_consumed_plant_food,822,0,1,0,1,0.6471,0.3209,0.0167,1.0,0,0,104,1248.125,0.5808,0.7414,289.6933,0.1988,0.7732,0.0,0.002,0.0,0.394,0.983,0.0,121,736,760,822,760,"{""harvest_drop"": 1, ""harvest_drop_seed"": 1, ""natural_drop"": 184, ""natural_drop_mature"": 21, ""natural_drop_seed"": 49, ""natural_drop_sprout"": 114}",74,34,187,60,215,1,1,0,104,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p5_ns2p0_pfd0p0015_s20260611,20260611,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.5,2.0,0.0015,time_limit_reached,45.008,2077,46.1474,103,50,0,0,plant_matured,790,0,0,0,0,0.6759,0.3214,0.0,0.0,1,0,76,1209.2078,0.6755,0.7497,289.9766,0.1509,0.7925,0.0,0.007,0.0,0.39,0.983,0.0,32,451,,,454,"{""natural_drop"": 213, ""natural_drop_mature"": 29, ""natural_drop_seed"": 64, ""natural_drop_sprout"": 120}",50,37,196,63,240,0,0,0,77,1,1,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p5_ns2p0_pfd0p0015_s20260612,20260612,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.5,2.0,0.0015,time_limit_reached,45.001,2049,45.5323,102,50,0,0,agent_consumed_plant_food,1662,4,22,9,35,0.5058,0.4674,0.2869,0.6286,1,0,109,1282.1,0.5582,0.7575,287.6409,0.1604,0.7746,0.0,0.098,0.035,0.28,0.983,0.0,105,371,371,504,374,"{""harvest_drop"": 21, ""harvest_drop_mature"": 3, ""harvest_drop_seed"": 9, ""harvest_drop_sprout"": 9, ""natural_drop"": 385, ""natural_drop_mature"": 79, ""natural_drop_seed"": 186, ""natural_drop_sprout"": 120}",104,66,261,122,412,35,22,9,110,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p5_ns2p0_pfd0p0015_s20260613,20260613,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.5,2.0,0.0015,time_limit_reached,45.006,2052,45.5939,102,50,0,0,plant_matured,790,0,0,0,0,0.4232,0.4608,0.0,0.0,0,0,63,1312.1429,0.4644,0.7711,287.6302,0.2297,0.7987,0.0,0.021,0.0,0.319,0.983,0.0,222,777,,,777,"{""natural_drop"": 178, ""natural_drop_mature"": 28, ""natural_drop_seed"": 104, ""natural_drop_sprout"": 46}",55,26,102,47,186,0,0,0,63,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p5_ns2p0_pfd0p0015_s20260614,20260614,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.5,2.0,0.0015,time_limit_reached,45.012,2078,46.1655,103,50,0,0,agent_consumed_plant_food,822,0,1,0,1,0.6449,0.3633,0.0103,1.0,0,0,110,1192.5909,0.804,0.7507,289.43,0.1362,0.7875,0.0,0.004,0.0,0.403,0.983,0.0,122,483,1400,1401,760,"{""harvest_drop"": 1, ""harvest_drop_sprout"": 1, ""natural_drop"": 303, ""natural_drop_mature"": 36, ""natural_drop_seed"": 108, ""natural_drop_sprout"": 159}",63,55,267,97,351,1,1,0,110,0,0,0,0
