run_id,seed,width,height,max_food_per_100_cells,max_food,base_food_spawn_per_tick,food_spawn_multiplier,bootstrap_food_spawn_ticks,wild_food_spawn_after_bootstrap_multiplier,natural_seed_rain_per_tick,max_plant_seeds,plant_seed_max_age_multiplier,plant_growth_rate_multiplier,sprout_biomass_loss_multiplier,germination_good_ticks_multiplier,plant_fruiting_interval_multiplier,natural_seed_drop_chance_multiplier,plant_food_decay_chance,stop_reason,elapsed_seconds,tick,ticks_per_second,day,population,births,nests,status,ignition_score,plant_food_remaining,plant_food_consumed,plant_food_decayed,plant_food_fruited,seed_to_germinated_rate,germinated_to_matured_rate,matured_to_fruited_rate,fruit_to_consumed_rate,plant_died_no_biomass,plant_died_max_age,plant_died_low_viability,plant_died_mean_age_ticks,plant_died_mean_biomass,plant_died_mean_water,plant_died_mean_temp_k,plant_died_mean_light,plant_died_mean_nutrients,plant_died_mean_growth,mean_safety_feeling,mean_comfort_level,mean_fear_level,mean_hunger_level,mean_pair_bond_ticks,first_seed_germinated_tick,first_plant_matured_tick,first_plant_fruited_tick,first_plant_food_consumed_tick,first_natural_seed_dropped_tick,plant_origins,harvest_seed_dropped,seed_buried_by_disturbance,seed_germinated,plant_matured,natural_seed_dropped,plant_fruited,plant_lifecycle_food_consumed,plant_lifecycle_food_decayed,plant_died,seed_picked,seed_dropped,build_nest,technology_emerged
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_ns2p0_pfd0p0015_s20260610,20260610,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,2.0,0.0015,time_limit_reached,45.02,1796,39.8934,89,50,0,0,agent_consumed_plant_food,822,0,1,0,1,0.6066,0.3047,0.0256,1.0,0,0,86,1289.2093,0.4526,0.746,289.2733,0.2405,0.772,0.0,0.002,0.0,0.396,0.983,0.0,121,736,760,822,760,"{""harvest_drop"": 3, ""harvest_drop_seed"": 3, ""natural_drop"": 122, ""natural_drop_mature"": 15, ""natural_drop_seed"": 30, ""natural_drop_sprout"": 77}",74,27,128,39,137,1,1,0,86,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_ns2p0_pfd0p0015_s20260611,20260611,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,2.0,0.0015,time_limit_reached,45.015,1788,39.7201,89,50,0,0,plant_matured,790,0,0,0,0,0.6473,0.3209,0.0,0.0,1,0,65,1238.697,0.5817,0.7556,289.5879,0.1706,0.7952,0.0,0.002,0.0,0.4,0.983,0.0,32,451,,,454,"{""natural_drop"": 141, ""natural_drop_mature"": 19, ""natural_drop_seed"": 44, ""natural_drop_sprout"": 78}",50,32,134,43,157,0,0,0,66,1,1,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_ns2p0_pfd0p0015_s20260612,20260612,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,2.0,0.0015,time_limit_reached,45.02,1694,37.6277,84,50,0,0,agent_consumed_plant_food,1826,5,29,22,56,0.626,0.3729,0.6364,0.5179,0,0,83,1337.2771,0.3809,0.774,286.2349,0.176,0.7889,0.0,0.088,0.046,0.288,0.983,0.0,105,371,371,504,374,"{""harvest_drop"": 33, ""harvest_drop_seed"": 16, ""harvest_drop_sprout"": 17, ""natural_drop"": 261, ""natural_drop_mature"": 66, ""natural_drop_seed"": 69, ""natural_drop_sprout"": 126}",111,49,236,88,266,56,29,22,83,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_ns2p0_pfd0p0015_s20260613,20260613,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,2.0,0.0015,time_limit_reached,45.003,2046,45.4636,102,50,0,0,plant_matured,790,0,0,0,0,0.4591,0.4356,0.0,0.0,0,0,63,1312.1429,0.4644,0.7711,287.6302,0.2297,0.7987,0.0,0.017,0.0,0.312,0.983,0.0,222,777,,,777,"{""natural_drop"": 157, ""natural_drop_mature"": 25, ""natural_drop_seed"": 84, ""natural_drop_sprout"": 48}",55,26,101,44,165,0,0,0,63,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_ns2p0_pfd0p0015_s20260614,20260614,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,2.0,0.0015,time_limit_reached,45.015,1609,35.7436,80,50,0,0,agent_consumed_plant_food,822,0,1,0,1,0.5758,0.3509,0.025,1.0,0,0,47,1292.4043,0.5599,0.7777,285.783,0.1428,0.7923,0.0,0.0,0.0,0.306,0.983,0.0,122,483,1400,1401,760,"{""harvest_drop"": 16, ""harvest_drop_seed"": 15, ""harvest_drop_sprout"": 1, ""natural_drop"": 135, ""natural_drop_mature"": 22, ""natural_drop_seed"": 44, ""natural_drop_sprout"": 69}",63,37,114,40,135,1,1,0,47,0,0,0,0
