run_id,seed,width,height,max_food_per_100_cells,max_food,base_food_spawn_per_tick,food_spawn_multiplier,bootstrap_food_spawn_ticks,wild_food_spawn_after_bootstrap_multiplier,natural_seed_rain_per_tick,max_plant_seeds,plant_seed_max_age_multiplier,plant_growth_rate_multiplier,sprout_biomass_loss_multiplier,germination_good_ticks_multiplier,plant_fruiting_interval_multiplier,plant_fruiting_growth_threshold_multiplier,plant_fruiting_chance_multiplier,natural_seed_drop_chance_multiplier,plant_food_decay_chance,stop_reason,elapsed_seconds,tick,ticks_per_second,day,population,births,nests,status,ignition_score,plant_food_remaining,plant_food_consumed,plant_food_decayed,plant_food_fruited,seed_to_germinated_rate,germinated_to_matured_rate,matured_to_fruited_rate,fruit_to_consumed_rate,plant_died_no_biomass,plant_died_max_age,plant_died_low_viability,plant_died_mean_age_ticks,plant_died_mean_biomass,plant_died_mean_water,plant_died_mean_temp_k,plant_died_mean_light,plant_died_mean_nutrients,plant_died_mean_growth,mean_safety_feeling,mean_comfort_level,mean_fear_level,mean_hunger_level,mean_pair_bond_ticks,first_seed_germinated_tick,first_plant_matured_tick,first_plant_fruited_tick,first_plant_food_consumed_tick,first_natural_seed_dropped_tick,plant_origins,harvest_seed_dropped,seed_buried_by_disturbance,seed_germinated,plant_matured,natural_seed_dropped,plant_fruited,plant_lifecycle_food_consumed,plant_lifecycle_food_decayed,plant_died,seed_picked,seed_dropped,build_nest,technology_emerged
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_fthr0p5_fch2p0_ns2p0_pfd0p0015_s20260610,20260610,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,0.5,2.0,2.0,0.0015,time_limit_reached,45.004,1566,34.7969,78,50,0,0,agent_consumed_plant_food,1682,0,33,8,41,0.5026,0.2708,1.5769,0.8049,0,0,37,1275.0811,0.4453,0.7716,287.5189,0.1968,0.7941,0.0,0.0,0.0,0.315,0.983,0.0,121,736,737,770,760,"{""harvest_drop"": 69, ""harvest_drop_seed"": 57, ""harvest_drop_sprout"": 12, ""natural_drop"": 85, ""natural_drop_mature"": 13, ""natural_drop_seed"": 21, ""natural_drop_sprout"": 51}",106,52,96,26,85,41,33,8,37,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_fthr0p5_fch2p0_ns2p0_pfd0p0015_s20260611,20260611,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,0.5,2.0,2.0,0.0015,time_limit_reached,45.003,1604,35.6421,80,50,0,0,agent_consumed_plant_food,1698,2,33,13,48,0.5896,0.2255,2.087,0.6875,0,0,40,1282.025,0.4003,0.769,286.4725,0.177,0.7903,0.0,0.0,0.0,0.222,0.983,0.0,32,451,457,459,452,"{""harvest_drop"": 47, ""harvest_drop_seed"": 32, ""harvest_drop_sprout"": 15, ""natural_drop"": 86, ""natural_drop_mature"": 11, ""natural_drop_seed"": 21, ""natural_drop_sprout"": 54}",83,47,102,23,90,48,33,13,40,1,1,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_fthr0p5_fch2p0_ns2p0_pfd0p0015_s20260612,20260612,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,0.5,2.0,2.0,0.0015,time_limit_reached,45.028,1626,36.1109,81,50,0,0,agent_consumed_plant_food,1762,1,52,14,67,0.5333,0.2721,1.8108,0.7761,0,0,63,1340.4762,0.3487,0.7711,285.2492,0.1708,0.7822,0.0,0.037,0.0,0.365,0.983,0.0,105,371,371,482,374,"{""harvest_drop"": 73, ""harvest_drop_mature"": 1, ""harvest_drop_seed"": 49, ""harvest_drop_sprout"": 23, ""natural_drop"": 119, ""natural_drop_mature"": 21, ""natural_drop_seed"": 34, ""natural_drop_sprout"": 64}",134,63,136,37,121,67,52,14,63,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_fthr0p5_fch2p0_ns2p0_pfd0p0015_s20260613,20260613,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,0.5,2.0,2.0,0.0015,time_limit_reached,45.011,1588,35.2803,79,50,0,0,agent_consumed_plant_food,1634,0,44,5,49,0.4915,0.2644,2.1304,0.898,0,0,35,1297.8857,0.4118,0.7674,287.5743,0.1729,0.7966,0.0,0.0,0.0,0.397,0.983,0.0,222,777,778,779,777,"{""harvest_drop"": 64, ""harvest_drop_seed"": 58, ""harvest_drop_sprout"": 6, ""natural_drop"": 78, ""natural_drop_mature"": 12, ""natural_drop_seed"": 18, ""natural_drop_sprout"": 48}",99,40,87,23,78,49,44,5,35,0,0,0,0
w100_d20p0_b4_fsm0p7_boot300_post0p1_rain0_age4p0_grow2p0_loss0p1_gt0p5_fruit0p25_fthr0p5_fch2p0_ns2p0_pfd0p0015_s20260614,20260614,100,100,20.0,2000,4,0.7,300,0.1,0,7600,4.0,2.0,0.1,0.5,0.25,0.5,2.0,2.0,0.0015,time_limit_reached,45.013,2032,45.1425,101,50,0,0,agent_consumed_plant_food,1850,6,77,55,138,0.6667,0.2153,2.339,0.558,2,0,99,1201.9505,0.4999,0.77,287.2168,0.1602,0.7788,0.0,0.105,0.03,0.33,0.983,0.0,122,483,736,770,760,"{""harvest_drop"": 66, ""harvest_drop_mature"": 1, ""harvest_drop_seed"": 19, ""harvest_drop_sprout"": 46, ""natural_drop"": 244, ""natural_drop_mature"": 21, ""natural_drop_seed"": 78, ""natural_drop_sprout"": 145}",139,107,274,59,272,138,77,55,101,0,0,0,0
